NEU,NPC
Xkr4,Xkr4
Sntg1,Oprk1
Rrs1,Npbwr1
Prex2,Alkal1
Msc,Sntg1
Rdh10,Rrs1
Jph1,Tcf24
Kcnq5,Prex2
Col19a1,A830018L16Rik
Dst,Sulf1
Ptpn18,Slco5a1
Amer3,Msc
Arid5a,Kcnb2
Sema4c,Sbspon
Mgat4a,4930444P10Rik
Npas2,Jph1
Creg2,Gm16070
Slc9a2,Kcnq5
Gulp1,Rims1
Slc40a1,Col19a1
Satb2,Dst
Spats2l,Ptpn18
Nrp2,Amer3
Fzd5,Arhgef4
Unc80,Arid5a
Acadl,Sema4c
Erbb4,Mgat4a
Marchf4,Cracdl
Igfbp5,Lonrf2
Sgpp2,Npas2
Ap1s3,Creg2
Serpine2,Rfx8
Dock10,Il1rl2
Spata3,Slc9a2
2810459M11Rik,Gulp1
Nppc,Slc40a1
Efhd1,Nabp1
Neu2,Hecw2
Lrrfip1,Ankrd44
Asb1,Mob4
Slco4c1,Rftn2
Cdh20,Boll
Tnfrsf11a,9130024F11Rik
Bcl2,Satb2
Tfcp2l1,Spats2l
Inhbb,Fzd7
Ralb,Ica1l
Tmem163,Nrp2
Rassf5,Adam23
Slc45a3,Creb1
Klhdc8a,Fzd5
Etnk2,Unc80
Sox13,Erbb4
Adora1,Mreg
Syt2,Marchf4
Nav1,Igfbp2
Phlda3,Igfbp5
Lad1,Tns1
Gpr25,Ctdsp1
Tsen15,Ttll4
Colgalt2,Cyp27a1
Nmnat2,Wnt6
Lamc2,Wnt10a
BC034090,Cdk5r2
Tdrd5,Mir375
Dnm3,Cfap65
Prrx1,Ihh
Atp1b1,Tuba4a
Sft2d2,Asic4
Rcsd1,Obsl1
Creg1,Sgpp2
Aldh9a1,Ap1s3
Mgst3,Serpine2
Rxrg,Dock10
Pcp4l1,Sphkap
Kcnj9,Spata3
Kif26b,2810459M11Rik
Itpkb,B3gnt7
Tmem63a,Nppc
Cnih3,Ecel1
Susd4,Efhd1
Taf1a,Neu2
Tgfb2,Gbx2
Ptpn14,Ackr3
Smyd2,Lrrfip1
Prox1os,Erfe
Batf3,Asb1
Ppp2r5a,Sned1
Traf5,Bok
Ppp1r14c,Slco4c1
Cnksr3,Cdh20
Lrp11,Tnfrsf11a
Ust,Bcl2
Samd5,Cdh7
Utrn,Tfcp2l1
Stx11,Gli2
Phactr2,Inhbb
Adgrg6,Sctr
Slc35d3,Tmem37
Map3k5,C1ql2
Map7,En1
Myb,Htr5b
Eya4,Lypd1
Moxd1,Tmem163
Gm15270,Cxcr4
Enpp1,Thsd7b
Gm9767,Cd55
Rspo3,Rassf5
Hey2,Rab29
Hs3st5,Slc45a3
Mfsd4b3-ps,Mfsd4a
Slc16a10,Cdk18
Gpr6,Lemd1
Foxo3,Klhdc8a
Nr2e1,Cntn2
Ostm1,Nfasc
Prdm1,Lrrn2
Bves,Plekha6
Lin28b,Etnk2
Rfx6,Atp2b4
Fam184a,Adora1
Gm16998,Syt2
Sh3rf3,Lgr6
Spock2,Timm17a
Chst3,Gm4793
Unc5b,Nav1
Adamts14,Phlda3
Pald1,Lad1
Atoh7,Tmem9
Egr2,Ascl5
Ado,Kif21b
Zfp365,Gpr25
Ank3,Lhx9
Slc16a9,Brinp3
Bicc1,Hmcn1
Tfam,Niban1
Pcdh15,Colgalt2
Gnaz,Rgl1
Adarb1,Nmnat2
Icosl,Lamc2
Plpp2,Shcbp1l
C2cd4c,Rgs8
Hcn2,Rnasel
Tcf3,Cacna1e
Lingo3,BC034090
Zbtb7a,Fam163a
Tle2,Tdrd5
Chst11,Brinp2
Slc41a2,Dnm3
Abtb3,Prrx1
Prdm4,Atp1b1
Ascl4,Rcsd1
Timp3,Creg1
Ascl1,Ildr2
Ano4,Fam78b
Ntn4,Aldh9a1
Usp44,Mgst3
Plxnc1,Rxrg
Dusp6,Lmx1a
Kitl,Nos1ap
Lin7a,Olfml2b
Pawr,Pcp4l1
Syt1,F11r
Kcnc2,Nhlh1
Gm15723,Kcnj9
Lgr5,Tagln2
Ptprr,4933439K11Rik
Frs2,Rgs7
Cpm,Pld5
Hmga2,Kif26b
Msrb3,Smyd3
Rassf3,Itpkb
Avpr1a,Stum
Mir8104,Mixl1
Tafa2,Tmem63a
Lrig3,Cnih3
B4galnt1,Susd4
Nxph4,Taf1a
Gls2,Hlx
Esyt1,C130074G19Rik
Erbb3,Esrrg
Dgka,Kctd3
Selenom,Ptpn14
Tbc1d10a,Prox1os
Cabp7,Batf3
Nefh,Nenf
Gas2l1,Ppp2r5a
Kremen1,Traf5
Znrf3,Kcnh1
Camk2b,A730013G03Rik
Adcy1,Ppp1r14c
Tns3,Syne1
Vwc2,Rgs17
Ikzf1,Lrp11
Cobl,Ust
Vstm2a,Samd5
Meis1,Stxbp5
Otx1,Grm1
Ccdc85a,Utrn
Eml6,Stx11
Stc2,Sf3b5
Rhbdf1,Plagl1
Fgf18,Phactr2
Fbll1,Hivep2
Gabra1,Adgrg6
Adam19,Nhsl1
Ltc4s,Hebp2
Adamts2,Gm32926
Zfp354b,Perp
Rmnd5b,Il20ra
N4bp3,Slc35d3
Jade2,Map3k5
Or2y7,Map7
Fstl4,Myb
Sowaha,Sgk1
Irf1,Slc2a12
Slc22a21,Eya4
Slc22a4,Moxd1
P4ha2,Gm15270
Specc1,Enpp1
Adora2b,Gm9767
Hs3st3a1,Ptprk
Arhgap44,Rspo3
Shisa6,Hey2
Gas7,Tpd52l1
Usp43,Gm15939
Ntn1,Dse
Arhgef15,Hs3st5
