gene,baseMean,log2FoldChange,Direction,Endogenous_Promoter,Exogenous_Promoter
Adar,1100.861558,1.592135406,UP,TRUE,TRUE
Adcy1,1952.572347,2.07503261,UP,TRUE,TRUE
Adcy8,77.40678144,0.784146953,UP,FALSE,TRUE
Adcyap1r1,3183.938885,1.908693421,UP,FALSE,TRUE
Add1,3128.805843,0.551254186,UP,TRUE,TRUE
Add3,2550.462267,-0.84620353,DOWN,TRUE,TRUE
Adgra1,468.4066671,1.825220803,UP,TRUE,TRUE
Adgrb1,257.5953113,1.929985342,UP,TRUE,FALSE
Adgrb2,5136.301668,0.950134811,UP,TRUE,TRUE
Adgrg1,7707.020076,0.915048809,UP,TRUE,TRUE
Adgrg6,1251.72095,0.513534513,UP,FALSE,TRUE
Adgrl1,2159.453571,1.065613051,UP,TRUE,TRUE
Adgrl2,5964.912721,0.852909087,UP,TRUE,TRUE
Adh5,3058.420917,-0.745595911,DOWN,TRUE,TRUE
Adhfe1,370.6092759,0.697750326,UP,TRUE,TRUE
Adk,1755.19404,-1.143895705,DOWN,TRUE,TRUE
Adm,988.3421174,0.763115437,UP,FALSE,TRUE
Adora1,1392.453771,1.416838549,UP,TRUE,TRUE
Adora2b,147.1534199,-0.632302321,DOWN,TRUE,TRUE
Adrb1,914.2961502,0.828246032,UP,TRUE,TRUE
Aen,2381.155642,0.877313918,UP,TRUE,TRUE
Afap1,2537.758858,1.121297549,UP,TRUE,TRUE
Afap1l2,87.70238528,-1.260799554,DOWN,TRUE,TRUE
Afdn,4419.826388,0.514656483,UP,TRUE,TRUE
Agap2,885.8816432,1.085961886,UP,TRUE,FALSE
Ago2,6346.877106,0.744229583,UP,TRUE,FALSE
Agrn,5535.051793,1.242637155,UP,TRUE,TRUE
Agt,220.3094343,0.518547519,UP,TRUE,TRUE
Ahdc1,1716.692518,1.054617393,UP,TRUE,FALSE
Ahnak,138.8256937,1.282422905,UP,TRUE,FALSE
AI593442,75.24782666,-0.870091676,DOWN,FALSE,TRUE
Aif1l,2890.902447,-1.0050441,DOWN,TRUE,TRUE
Aimp1,974.2962282,-0.9504187,DOWN,TRUE,FALSE
Aip,1645.893298,-0.514940768,DOWN,TRUE,TRUE
Airn,339.1003887,-0.791754157,DOWN,FALSE,TRUE
Ajuba,412.953093,0.520352169,UP,FALSE,TRUE
Ak1,4355.003682,1.596344763,UP,TRUE,TRUE
Ak2,1822.55084,-0.658743482,DOWN,TRUE,TRUE
Ak5,65.65085121,1.165902745,UP,TRUE,TRUE
Ak6,611.9939375,-0.900078975,DOWN,TRUE,TRUE
Akap1,1270.870453,0.639842006,UP,TRUE,TRUE
Akap12,3174.970541,-0.641102264,DOWN,TRUE,FALSE
Akap13,3065.439726,0.528972317,UP,TRUE,TRUE
Akna,932.7626681,0.756567921,UP,TRUE,TRUE
Akr1b3,2122.063024,-0.709160104,DOWN,FALSE,TRUE
Akr1c14,159.0596009,2.533346618,UP,TRUE,TRUE
Aldh1l1,308.6538636,1.543197448,UP,FALSE,TRUE
Aldh1l2,669.6973393,-0.711038132,DOWN,TRUE,TRUE
Aldh3b1,637.8343773,0.986316846,UP,TRUE,TRUE
Aldh4a1,301.1906275,0.805554014,UP,TRUE,TRUE
Aldh9a1,1028.215372,-0.529646248,DOWN,TRUE,TRUE
Aldoc,6948.483389,-0.863293903,DOWN,TRUE,TRUE
Alg14,1145.458208,-0.505223925,DOWN,TRUE,TRUE
Alg6,568.0916849,-0.681346798,DOWN,TRUE,TRUE
Alkbh3,374.0765402,-0.591425493,DOWN,TRUE,TRUE
Alpl,80.82962249,1.223940849,UP,TRUE,TRUE
Ammecr1l,1287.898764,0.721604015,UP,TRUE,TRUE
Amot,2353.918372,0.770159344,UP,TRUE,TRUE
Amotl2,615.4147012,1.490577844,UP,TRUE,TRUE
Ampd2,1695.100105,1.267114102,UP,FALSE,TRUE
Amt,1377.745968,-0.648337238,DOWN,TRUE,TRUE
Amz2,1482.336302,-0.532481399,DOWN,TRUE,TRUE
Anapc15,279.332982,-0.521136179,DOWN,TRUE,TRUE
Angptl2,122.5818893,0.536660762,UP,TRUE,TRUE
Ankib1,7576.611624,0.7610735,UP,FALSE,TRUE
Ankmy2,1282.391421,-0.516671363,DOWN,TRUE,TRUE
Ankrd11,3227.65855,0.664176197,UP,TRUE,TRUE
Ankrd13b,744.09975,0.690826244,UP,TRUE,TRUE
Ankrd13d,153.4932844,0.624337804,UP,TRUE,TRUE
Ankrd26,1148.387698,-0.567324472,DOWN,TRUE,TRUE
Ankrd29,725.629024,1.282269318,UP,TRUE,FALSE
Ankrd33b,119.5058546,-1.061288561,DOWN,FALSE,TRUE
Ankrd39,82.50861009,-0.569991889,DOWN,TRUE,TRUE
Ankrd52,3124.000782,1.308121491,UP,TRUE,FALSE
Anks1,852.3604373,0.52555782,UP,TRUE,TRUE
Anks1b,933.8736881,0.827374264,UP,TRUE,TRUE
Anks3,526.2641207,0.503951894,UP,TRUE,TRUE
Anln,6329.248708,-0.53493546,DOWN,TRUE,TRUE
Ano3,1955.27113,1.463662694,UP,TRUE,TRUE
Anp32e,11854.98339,-0.629908636,DOWN,TRUE,TRUE
Anxa2,305.4669493,-1.546692485,DOWN,TRUE,TRUE
Aox1,423.521892,1.804900114,UP,TRUE,TRUE
Ap1g2,120.1676074,-1.188567283,DOWN,TRUE,TRUE
Ap2a1,2784.940861,0.672515565,UP,TRUE,TRUE
Ap3d1,2889.574041,0.871539329,UP,TRUE,TRUE
Ap3m2,1965.593327,0.820151877,UP,TRUE,TRUE
Ap3s1,2367.206983,-0.595488529,DOWN,TRUE,TRUE
Ap4s1,589.1533863,-0.662389804,DOWN,TRUE,TRUE
Ap5b1,125.6046498,0.994676359,UP,TRUE,FALSE
Apaf1,2337.073733,0.658072017,UP,TRUE,TRUE
Apba1,197.6213546,1.381104628,UP,TRUE,TRUE
Apba2,953.8699309,2.442819418,UP,TRUE,TRUE
Apc2,491.5589449,1.3113266,UP,TRUE,TRUE
Apcdd1,71.78505759,0.851660269,UP,TRUE,TRUE
Apex1,181.255807,-0.747424274,DOWN,FALSE,TRUE
Apoe,2076.004894,2.049650278,UP,TRUE,TRUE
Apold1,54.98305514,-1.768398418,DOWN,TRUE,TRUE
App,12278.97473,1.026870302,UP,TRUE,TRUE
Appl1,4054.553787,-0.653271248,DOWN,TRUE,TRUE
Appl2,2542.439848,-0.807936663,DOWN,TRUE,TRUE
Aprt,464.7160037,-1.346702068,DOWN,FALSE,TRUE
Arcn1,8374.28314,-0.600174627,DOWN,TRUE,TRUE
Arf3,6280.620443,0.508023596,UP,TRUE,TRUE
Arhgap10,400.936532,-0.634610777,DOWN,FALSE,TRUE
Arhgap18,6952.247465,-0.697358247,DOWN,TRUE,TRUE
Arhgap19,1787.058449,-0.719397905,DOWN,TRUE,TRUE
Arhgap20,2260.093838,0.960743272,UP,FALSE,TRUE
Arhgap23,260.4353189,0.648253395,UP,TRUE,TRUE
Arhgap24,52.82851958,1.205402931,UP,TRUE,TRUE
Arhgap29,6547.986395,-1.881986665,DOWN,TRUE,TRUE
Arhgap31,12114.13327,0.695098233,UP,TRUE,TRUE
Arhgap33,262.2600635,0.784061437,UP,TRUE,TRUE
Arhgap35,14884.26856,0.646214816,UP,TRUE,TRUE
Arhgap6,563.9487057,2.728511053,UP,FALSE,TRUE
Arhgef10,483.3946988,0.767463899,UP,TRUE,TRUE
Arhgef12,7718.580987,0.610004857,UP,TRUE,FALSE
Arhgef17,483.5305125,0.653657038,UP,TRUE,TRUE
Arhgef18,688.1667385,0.574825654,UP,FALSE,TRUE
Arhgef19,50.24825947,1.316381611,UP,TRUE,TRUE
Arhgef28,108.5191743,-1.313834765,DOWN,TRUE,TRUE
Arhgef3,64.66048987,-1.653608817,DOWN,FALSE,TRUE
Arhgef4,3088.455286,0.532777186,UP,TRUE,TRUE
Arhgef40,2371.725466,0.703916811,UP,TRUE,TRUE
Arid1a,4893.499533,1.188763426,UP,TRUE,TRUE
Arid3b,86.88975524,0.994089414,UP,TRUE,TRUE
Arl1,2833.786889,-0.816516163,DOWN,TRUE,TRUE
Arl15,1183.687353,-0.523118015,DOWN,TRUE,TRUE
Arl4c,3913.632436,0.954453409,UP,TRUE,TRUE
Arl5a,5643.169607,-0.502848983,DOWN,TRUE,TRUE
Arl6,1012.901599,-0.503488279,DOWN,TRUE,TRUE
Arl6ip5,1004.901334,-0.65107175,DOWN,TRUE,FALSE
Arl8a,3503.645969,0.892965211,UP,TRUE,TRUE
Armc1,2751.29733,-0.543856519,DOWN,TRUE,TRUE
Armc7,88.16047368,0.892208832,UP,TRUE,TRUE
Armh4,2073.358283,-1.310437654,DOWN,TRUE,TRUE
Arnt2,4495.243229,1.223203391,UP,TRUE,TRUE
Arpc3,1427.730898,-0.589275606,DOWN,TRUE,FALSE
Arpp21,292.2740136,1.861422332,UP,TRUE,TRUE
Arrdc2,123.3919568,-0.632413712,DOWN,TRUE,TRUE
Arrdc3,1009.412107,-0.649918483,DOWN,TRUE,TRUE
Arrdc4,567.1881897,-1.071881427,DOWN,TRUE,TRUE
Arvcf,376.5102957,2.092938555,UP,TRUE,TRUE
Asah1,5105.894265,-0.650178413,DOWN,TRUE,TRUE
Asap1,2603.94938,0.858282361,UP,TRUE,TRUE
Asap2,1714.97957,0.56950603,UP,TRUE,TRUE
Asap3,64.65038865,1.034103753,UP,TRUE,TRUE
Ascl1,1211.132351,0.761778981,UP,TRUE,TRUE
Asf1a,901.4420807,-0.511761509,DOWN,TRUE,TRUE
Asns,2378.237121,-0.826159653,DOWN,FALSE,TRUE
Asph,3826.721964,-0.533817864,DOWN,TRUE,TRUE
Astn1,11786.84815,0.845961891,UP,FALSE,TRUE
Atat1,552.5001378,0.711587595,UP,TRUE,TRUE
Ate1,1697.785911,-0.527926594,DOWN,TRUE,TRUE
Atf7,2228.503646,0.716058683,UP,TRUE,TRUE
Atg101,304.1532856,-0.598241775,DOWN,TRUE,TRUE
Atg2a,699.5954337,1.21848407,UP,TRUE,TRUE
Atg4d,444.9831522,-0.570804193,DOWN,TRUE,TRUE
Atg5,1147.649853,-0.55490518,DOWN,TRUE,TRUE
Atg9a,460.8468979,0.525397805,UP,TRUE,TRUE
Atl2,2236.987948,-0.750055,DOWN,FALSE,TRUE
Atn1,156.9358779,1.507936566,UP,TRUE,TRUE
Atp10d,401.6636644,0.529980017,UP,TRUE,TRUE
Atp1a1,4494.286896,0.882843397,UP,TRUE,TRUE
Atp1a2,159.1186034,-0.898971133,DOWN,TRUE,TRUE
Atp1b1,1087.624345,-0.807864139,DOWN,FALSE,TRUE
Atp1b2,3666.659797,1.603606541,UP,TRUE,FALSE
Atp23,234.4320836,-0.678941022,DOWN,TRUE,FALSE
Atp2a2,10960.97649,0.585858616,UP,TRUE,TRUE
Atp5c1,8899.230121,-0.59414243,DOWN,TRUE,TRUE
Atp5e,1285.310162,-1.103084906,DOWN,TRUE,FALSE
Atp5g2,4735.085838,-0.624797275,DOWN,TRUE,TRUE
Atp5j2,837.7237121,-0.894213341,DOWN,FALSE,TRUE
Atp5l,668.1079865,-0.719807063,DOWN,TRUE,TRUE
Atp5mpl,1716.548077,-0.968533205,DOWN,TRUE,TRUE
Atp5o,5639.558395,-0.570771893,DOWN,TRUE,TRUE
Atp6ap1,5611.381775,0.589144685,UP,TRUE,TRUE
Atp6v0a1,3402.381665,1.196336629,UP,TRUE,TRUE
Atp6v1a,6876.141843,-0.715973647,DOWN,TRUE,TRUE
Atp6v1e1,3834.260485,-0.528586234,DOWN,TRUE,TRUE
Atp6v1g1,3187.372885,-0.509383106,DOWN,TRUE,TRUE
Atp7a,1449.269316,-0.716102888,DOWN,TRUE,FALSE
Atp7b,182.0641382,1.088925817,UP,TRUE,TRUE
Atp8b1,58.53998492,-1.108481007,DOWN,TRUE,TRUE
Atrn,2790.385349,0.554249944,UP,TRUE,TRUE
Atxn1,297.8814483,1.374359497,UP,TRUE,TRUE
Atxn2,2811.499741,0.994508849,UP,TRUE,FALSE
Atxn2l,3138.477542,0.67507871,UP,TRUE,TRUE
Aup1,1241.232316,0.504140225,UP,TRUE,TRUE
Aurka,2467.414834,-0.511962755,DOWN,TRUE,TRUE
Aurkaip1,1438.506492,-0.50918804,DOWN,TRUE,FALSE
Auts2,1514.093144,0.723445187,UP,FALSE,TRUE
Avpi1,91.4858672,-0.740624334,DOWN,FALSE,TRUE
Axin2,1805.152028,1.169324034,UP,TRUE,TRUE
Axl,1072.284437,2.250708853,UP,TRUE,TRUE
Azin2,51.2094941,1.064913422,UP,TRUE,TRUE
B2m,5450.577767,1.299464537,UP,TRUE,TRUE
B3galt5,101.5392824,-1.119992836,DOWN,TRUE,TRUE
B4galt6,4040.894917,0.828360364,UP,TRUE,TRUE
B4galt7,267.5527116,-0.509726357,DOWN,TRUE,FALSE
Bace1,1458.102474,0.503029371,UP,TRUE,TRUE
Bag2,420.8791018,-1.54318909,DOWN,TRUE,TRUE
Bag3,1137.872458,0.70876536,UP,FALSE,TRUE
Bag6,5755.215828,0.650629683,UP,TRUE,TRUE
Bahcc1,1780.236851,0.825218447,UP,FALSE,TRUE
Bahd1,722.5512554,0.909500314,UP,TRUE,FALSE
Bbc3,416.3432052,1.75229247,UP,TRUE,TRUE
Bbs10,178.1072024,-0.590445034,DOWN,TRUE,TRUE
Bbs5,126.1635627,-0.50080794,DOWN,TRUE,TRUE
BC005537,5163.6214,0.732598257,UP,TRUE,TRUE
BC006965,55.69668262,-0.768771364,DOWN,FALSE,TRUE
BC034090,91.16116224,1.360590918,UP,TRUE,TRUE
BC055324,1089.399425,-0.702342386,DOWN,FALSE,TRUE
Bcan,15625.44015,1.091300182,UP,TRUE,TRUE
Bcar1,868.077571,1.16901429,UP,TRUE,TRUE
Bcar3,160.5066751,-1.537973367,DOWN,TRUE,TRUE
Bcas1,5226.159113,0.563419676,UP,TRUE,FALSE
Bcas3,537.8482961,0.870781918,UP,TRUE,TRUE
Bcat1,387.3209488,-1.874411887,DOWN,TRUE,TRUE
Bcdin3d,144.6657029,-0.617223943,DOWN,TRUE,FALSE
Bche,1826.207179,-0.745490481,DOWN,TRUE,TRUE
Bcl2l1,1425.4533,0.800994035,UP,TRUE,TRUE
Bcl2l11,611.101909,0.650699216,UP,TRUE,TRUE
Bcl7c,1180.68549,-0.502830864,DOWN,TRUE,TRUE
Bcl9l,1247.306797,1.596763853,UP,TRUE,TRUE
Bcorl1,690.1888432,1.900124299,UP,TRUE,TRUE
Bend6,139.9560846,-0.822750453,DOWN,TRUE,FALSE
Bet1,1088.234751,-0.627115716,DOWN,TRUE,TRUE
Bex2,2645.000578,-0.946690581,DOWN,FALSE,TRUE
Bhlhb9,3667.730057,-0.539349753,DOWN,FALSE,TRUE
Bhlhe40,2670.217945,-0.655046853,DOWN,TRUE,TRUE
Bhlhe41,328.7361426,0.576438797,UP,TRUE,TRUE
Bicdl1,117.376836,0.51399108,UP,TRUE,TRUE
Bicra,377.6910064,0.877063574,UP,TRUE,TRUE
Blm,1964.905893,-0.531286828,DOWN,TRUE,TRUE
Blvrb,500.4333337,-1.187269121,DOWN,TRUE,TRUE
Bmp1,2666.758545,0.979981682,UP,TRUE,TRUE
Bmpr2,17899.74109,0.924987708,UP,TRUE,FALSE
Bmyc,87.67571346,0.641162395,UP,TRUE,TRUE
Bnip3,463.6358614,-2.330808479,DOWN,FALSE,TRUE
Bnip3l,4543.611961,-0.870524611,DOWN,TRUE,TRUE
Borcs6,198.7683727,0.606632066,UP,TRUE,TRUE
Bpgm,638.8522414,-0.69899663,DOWN,TRUE,TRUE
Bpnt1,1945.736705,-0.82008843,DOWN,TRUE,TRUE
Bptf,5731.214418,0.576676941,UP,TRUE,TRUE
Brd2,8138.153252,0.636572317,UP,TRUE,TRUE
Brd3,3438.58121,0.583754056,UP,TRUE,TRUE
Brd3os,132.949489,0.541898971,UP,TRUE,TRUE
Brd4,2882.64068,0.929019356,UP,TRUE,TRUE
Brdt,67.69608965,-0.757043263,DOWN,TRUE,FALSE
Brinp2,3923.959656,-0.955638749,DOWN,TRUE,TRUE
Brinp3,70.08367343,-1.548082002,DOWN,FALSE,TRUE
Brk1,2814.762948,-0.611969089,DOWN,TRUE,TRUE
Brpf3,1181.714164,0.898341146,UP,TRUE,TRUE
Brsk2,393.0986203,0.883374649,UP,TRUE,TRUE
Bscl2,332.7138942,0.617446771,UP,TRUE,TRUE
Btbd17,1084.853988,1.258799264,UP,TRUE,TRUE
Btbd19,231.6876307,0.887604446,UP,TRUE,TRUE
Btbd9,796.4175795,0.509326701,UP,TRUE,TRUE
Btg1,3163.770274,-0.596468128,DOWN,TRUE,TRUE
Btg2,1183.483278,0.54489963,UP,TRUE,TRUE
Btg3,261.4504041,-0.906474628,DOWN,FALSE,TRUE
Bud13,395.7958052,0.610082139,UP,TRUE,FALSE
C1galt1c1,1205.687043,-0.504536076,DOWN,TRUE,TRUE
C2cd3,2977.494233,0.786102957,UP,TRUE,TRUE
C77080,129.1863637,-0.727015553,DOWN,TRUE,TRUE
Cabin1,2416.652273,0.678229379,UP,TRUE,TRUE
Cables2,575.3007291,0.570155638,UP,TRUE,TRUE
Cachd1,1627.671192,1.047447478,UP,TRUE,TRUE
Cacna1a,108.4071075,1.01511812,UP,TRUE,TRUE
Cacna1b,214.7252045,1.475997878,UP,FALSE,TRUE
Cacna1g,114.1407399,4.333321227,UP,TRUE,FALSE
Cacna1h,356.4341676,2.688154184,UP,TRUE,FALSE
Cacnb1,110.9039819,1.677532276,UP,TRUE,TRUE
Cacnb2,310.8499021,1.641474244,UP,TRUE,TRUE
Cacng7,1300.935972,0.917329664,UP,TRUE,TRUE
Cacng8,351.9991059,1.62017227,UP,TRUE,FALSE
Cacybp,7078.941805,-0.866620351,DOWN,TRUE,TRUE
Cad,3228.61477,0.712119636,UP,TRUE,TRUE
Calcoco1,1027.957854,0.939790133,UP,TRUE,TRUE
Calcrl,10594.11831,-1.002910918,DOWN,FALSE,TRUE
Cald1,2853.525388,-0.889343307,DOWN,TRUE,TRUE
Calm2,19470.82288,-1.12719474,DOWN,TRUE,TRUE
Calu,14749.15535,-0.674352039,DOWN,TRUE,TRUE
Camk2a,65.52876845,1.641339567,UP,TRUE,TRUE
Camk2n1,1328.486421,2.510846184,UP,TRUE,TRUE
Camsap1,2207.218755,0.712663858,UP,TRUE,TRUE
Camta2,493.5540365,1.30306621,UP,TRUE,TRUE
Capn15,502.7884242,0.723652519,UP,TRUE,TRUE
Capza1,3298.357283,-0.578795739,DOWN,TRUE,TRUE
Car3,4787.141362,-1.307911314,DOWN,FALSE,TRUE
Carmil1,1019.869299,1.220155219,UP,TRUE,TRUE
Carmil3,96.70122957,0.890165423,UP,FALSE,TRUE
Carnmt1,1830.095077,-0.589270285,DOWN,TRUE,TRUE
Casd1,1602.389104,-0.904398811,DOWN,TRUE,TRUE
Cask,9214.718668,0.739308689,UP,TRUE,TRUE
Caskin2,616.4828789,0.637623998,UP,TRUE,TRUE
Casp3,3425.039296,-0.622090756,DOWN,TRUE,TRUE
Casq2,86.5570189,1.974403819,UP,TRUE,TRUE
Cast,109.8112992,1.420427211,UP,FALSE,TRUE
Castor2,828.6718198,0.641283388,UP,TRUE,TRUE
Cat,2535.33671,-0.529734133,DOWN,TRUE,TRUE
Catspere2,52.63881498,1.724576001,UP,TRUE,TRUE
Cavin1,2625.522292,1.248306464,UP,TRUE,TRUE
Cavin3,246.1655972,-0.512468804,DOWN,TRUE,FALSE
Cbl,6317.127227,0.81946699,UP,TRUE,TRUE
Cbr3,562.3197312,-0.633378574,DOWN,TRUE,TRUE
Cbr4,406.2473744,-0.610622499,DOWN,TRUE,TRUE
Cbwd1,511.9250719,-0.517380914,DOWN,TRUE,TRUE
Cbx3,4729.615027,-0.698227516,DOWN,TRUE,TRUE
Cbx6,3905.209521,1.06026537,UP,TRUE,TRUE
Ccdc117,539.8542269,-0.547010751,DOWN,TRUE,TRUE
Ccdc12,313.0551311,-0.71440333,DOWN,TRUE,TRUE
Ccdc122,77.47761202,0.75395616,UP,FALSE,TRUE
Ccdc136,1429.269572,0.516386304,UP,TRUE,TRUE
Ccdc141,3851.897853,-1.281741373,DOWN,FALSE,TRUE
Ccdc157,494.9145832,0.749887582,UP,FALSE,TRUE
Ccdc162,290.1457921,1.432167035,UP,TRUE,TRUE
Ccdc186,1566.681101,-0.518006577,DOWN,TRUE,TRUE
Ccdc194,65.75317285,0.82050579,UP,TRUE,FALSE
Ccdc28a,70.62151022,0.722311418,UP,TRUE,TRUE
Ccdc28b,696.3003981,-1.300265878,DOWN,TRUE,TRUE
Ccdc30,78.21034987,0.878495842,UP,TRUE,TRUE
Ccdc43,857.7839216,-0.89859409,DOWN,TRUE,TRUE
Ccdc85a,209.5013953,1.884597295,UP,TRUE,TRUE
Ccdc85b,611.8200501,-0.52465584,DOWN,TRUE,TRUE
Ccdc86,602.6196851,0.787723146,UP,TRUE,TRUE
Ccdc92,203.3536099,1.346268737,UP,TRUE,TRUE
Ccdc97,604.0039524,0.833402021,UP,TRUE,TRUE
Ccdc9b,275.4117721,0.528108938,UP,TRUE,TRUE
Ccl2,279.1647555,2.121424941,UP,TRUE,TRUE
Ccl7,101.3433066,2.832510591,UP,TRUE,TRUE
Ccn1,141.1037155,0.669180381,UP,TRUE,TRUE
Ccna2,9050.654237,-0.570550618,DOWN,TRUE,TRUE
Ccnb1,8113.34746,-0.816641013,DOWN,TRUE,TRUE
Ccnd2,31760.56783,1.66112826,UP,TRUE,FALSE
Ccnd3,947.3487294,0.914882375,UP,TRUE,TRUE
Ccne1,554.9446749,0.616684058,UP,TRUE,TRUE
Ccng1,17236.96709,0.709359956,UP,TRUE,TRUE
Ccng2,942.854321,-1.236781624,DOWN,TRUE,TRUE
Cct2,10039.60398,-0.698813268,DOWN,TRUE,FALSE
Cct3,7719.29203,-0.544548661,DOWN,TRUE,TRUE
Cct5,8089.074336,-0.771133694,DOWN,TRUE,TRUE
Cct8,9989.476503,-0.660145221,DOWN,TRUE,TRUE
Ccz1,1706.827814,-0.551563932,DOWN,TRUE,FALSE
Cd109,3821.195511,-0.578909884,DOWN,FALSE,TRUE
Cd14,96.4715689,0.67265712,UP,TRUE,TRUE
Cd180,60.89808337,0.996182605,UP,FALSE,TRUE
Cd1d1,504.6739511,-0.934781566,DOWN,TRUE,TRUE
Cd81,26182.35453,0.82192805,UP,TRUE,TRUE
Cd9,1884.166394,-2.095157644,DOWN,TRUE,TRUE
Cd93,3425.696487,0.503417222,UP,FALSE,TRUE
Cdc14a,774.7722375,-0.531101457,DOWN,TRUE,TRUE
Cdc16,4405.380826,-0.666163617,DOWN,FALSE,TRUE
Cdc25c,1358.321397,-1.25714683,DOWN,TRUE,TRUE
Cdc26,999.8816627,-0.587335118,DOWN,TRUE,TRUE
Cdc40,1558.362267,-0.714248943,DOWN,TRUE,TRUE
Cdc42bpb,2393.529352,0.516129255,UP,TRUE,TRUE
Cdc42bpg,555.5566666,1.511365275,UP,TRUE,FALSE
Cdc42ep1,3461.903549,0.893883066,UP,TRUE,TRUE
Cdc42ep3,113.1515172,-1.254616803,DOWN,TRUE,TRUE
Cdc7,1179.694292,-0.700232977,DOWN,FALSE,TRUE
Cdca3,2893.928738,-0.746170569,DOWN,TRUE,TRUE
Cdh2,4760.08118,0.956688747,UP,TRUE,TRUE
Cdh22,850.8505923,1.34023244,UP,FALSE,TRUE
Cdh6,1861.035577,1.574621664,UP,TRUE,TRUE
Cdk1,5351.592653,-0.763402398,DOWN,TRUE,TRUE
Cdk12,3942.663764,0.523259237,UP,TRUE,TRUE
Cdk2ap1,2525.818366,-0.545245012,DOWN,TRUE,TRUE
Cdk4,12800.20415,-0.700883472,DOWN,TRUE,TRUE
Cdk5rap1,176.1233972,-0.539294896,DOWN,FALSE,TRUE
Cdk6,181.6824513,-1.500142052,DOWN,FALSE,TRUE
Cdkl3,440.9648069,0.534478806,UP,TRUE,TRUE
Cdkn1a,7614.024133,1.370746377,UP,TRUE,TRUE
Cdkn2a,303.7899305,-1.156239993,DOWN,TRUE,TRUE
Cdkn2d,608.8260547,-0.87065333,DOWN,TRUE,TRUE
Cdkn3,634.9924122,-0.941560071,DOWN,TRUE,TRUE
Cdo1,113.5043192,-1.979727874,DOWN,TRUE,TRUE
Cdon,2459.15817,0.556523554,UP,FALSE,TRUE
Cdr2,1138.327815,-0.803103681,DOWN,TRUE,FALSE
Cdt1,1063.501212,0.594054929,UP,TRUE,TRUE
Cebpa,187.2015924,1.588333937,UP,TRUE,TRUE
Cebpz,2418.115072,-0.66078632,DOWN,TRUE,TRUE
