gene,baseMean,log2FoldChange,Direction,Endogenous_Promoter,Exogenous_Promoter
Aak1,9040.14736,0.523063727,UP,TRUE,TRUE
Aass,90.34405079,0.570119564,UP,FALSE,TRUE
Abat,2381.129589,1.737878259,UP,TRUE,TRUE
Abca1,1217.144188,2.799356316,UP,TRUE,TRUE
Abca2,1763.7554,0.553772981,UP,TRUE,FALSE
Abca3,1274.60487,1.025460447,UP,TRUE,TRUE
Abca4,107.9384853,-1.498484326,DOWN,TRUE,TRUE
Abca5,250.5475298,-0.656318784,DOWN,FALSE,TRUE
Abcc10,201.479629,0.544496192,UP,TRUE,TRUE
Abcc12,755.8043227,0.92869761,UP,FALSE,TRUE
Abcd1,494.4559658,0.678877147,UP,TRUE,TRUE
Abcd2,85.93768098,-1.135247341,DOWN,TRUE,TRUE
Abcd3,4193.232894,-0.692586092,DOWN,TRUE,TRUE
Abce1,12337.90966,-0.593385324,DOWN,TRUE,TRUE
Abhd11,460.2157424,-0.568433504,DOWN,TRUE,TRUE
Abhd17b,3355.143993,-0.660594133,DOWN,TRUE,TRUE
Abhd4,3631.043239,0.648502913,UP,TRUE,TRUE
Ablim1,363.2755279,-1.882430826,DOWN,TRUE,TRUE
Abr,1849.570236,1.712398667,UP,TRUE,TRUE
Abracl,259.2855218,-1.687552382,DOWN,FALSE,TRUE
Acad11,964.8497082,0.988717835,UP,TRUE,TRUE
Acat1,3824.409992,-1.016717092,DOWN,TRUE,TRUE
Acat2,4191.640887,-1.505765585,DOWN,TRUE,TRUE
Acat3,66.62750632,-1.042646482,DOWN,TRUE,TRUE
Acer3,1465.904913,0.674830703,UP,TRUE,TRUE
Acly,11884.89083,-0.500188132,DOWN,TRUE,TRUE
Acot11,138.8947361,1.397926843,UP,TRUE,FALSE
Acox3,405.5711461,0.738752819,UP,TRUE,TRUE
Acp1,2006.68539,-0.632348054,DOWN,FALSE,TRUE
Acsf2,1114.296725,0.686690102,UP,TRUE,TRUE
Acsl3,4173.425834,-0.614754525,DOWN,TRUE,TRUE
Acsl4,2918.736986,-1.139752364,DOWN,TRUE,TRUE
Acsl5,1337.187117,-0.588287671,DOWN,TRUE,TRUE
Actl6a,1670.606909,-0.804981037,DOWN,TRUE,TRUE
Actn4,4680.787685,0.816073466,UP,TRUE,TRUE
Actr2,11743.87146,-0.537641014,DOWN,FALSE,TRUE
Actr5,191.4019466,-0.60597449,DOWN,TRUE,TRUE
Actr6,410.4573121,-0.941660127,DOWN,FALSE,TRUE
Actr8,1106.363213,-0.57109261,DOWN,TRUE,TRUE
Acy3,100.6420442,0.663326469,UP,TRUE,TRUE
Acyp1,171.0714026,-0.990667404,DOWN,TRUE,TRUE
Acyp2,158.2897278,-0.523555697,DOWN,TRUE,TRUE
Adam12,14551.97579,0.886429306,UP,TRUE,TRUE
Adam15,702.0788582,0.632661976,UP,TRUE,TRUE
Adamts12,5023.0574,1.001805671,UP,TRUE,TRUE
Adamts17,54.55469025,1.030415737,UP,TRUE,TRUE
Adamts7,1377.237984,1.287624821,UP,FALSE,TRUE
Adamts9,1971.312066,-0.603689665,DOWN,TRUE,TRUE
