gene,baseMean,log2FoldChange,Direction,Endogenous_Promoter,Exogenous_Promoter
Abca5,250.5475298,-0.656318784,DOWN,FALSE,TRUE
Abracl,259.2855218,-1.687552382,DOWN,FALSE,TRUE
Acp1,2006.68539,-0.632348054,DOWN,FALSE,TRUE
Actr2,11743.87146,-0.537641014,DOWN,FALSE,TRUE
Actr6,410.4573121,-0.941660127,DOWN,FALSE,TRUE
AI593442,75.24782666,-0.870091676,DOWN,FALSE,TRUE
Airn,339.1003887,-0.791754157,DOWN,FALSE,TRUE
Akr1b3,2122.063024,-0.709160104,DOWN,FALSE,TRUE
Ankrd33b,119.5058546,-1.061288561,DOWN,FALSE,TRUE
Apex1,181.255807,-0.747424274,DOWN,FALSE,TRUE
Aprt,464.7160037,-1.346702068,DOWN,FALSE,TRUE
Arhgap10,400.936532,-0.634610777,DOWN,FALSE,TRUE
Arhgef3,64.66048987,-1.653608817,DOWN,FALSE,TRUE
Asns,2378.237121,-0.826159653,DOWN,FALSE,TRUE
Atl2,2236.987948,-0.750055,DOWN,FALSE,TRUE
Atp1b1,1087.624345,-0.807864139,DOWN,FALSE,TRUE
Atp5j2,837.7237121,-0.894213341,DOWN,FALSE,TRUE
Avpi1,91.4858672,-0.740624334,DOWN,FALSE,TRUE
BC006965,55.69668262,-0.768771364,DOWN,FALSE,TRUE
BC055324,1089.399425,-0.702342386,DOWN,FALSE,TRUE
Bex2,2645.000578,-0.946690581,DOWN,FALSE,TRUE
Bhlhb9,3667.730057,-0.539349753,DOWN,FALSE,TRUE
Bnip3,463.6358614,-2.330808479,DOWN,FALSE,TRUE
Brinp3,70.08367343,-1.548082002,DOWN,FALSE,TRUE
Btg3,261.4504041,-0.906474628,DOWN,FALSE,TRUE
Calcrl,10594.11831,-1.002910918,DOWN,FALSE,TRUE
Car3,4787.141362,-1.307911314,DOWN,FALSE,TRUE
Ccdc141,3851.897853,-1.281741373,DOWN,FALSE,TRUE
Cd109,3821.195511,-0.578909884,DOWN,FALSE,TRUE
Cdc16,4405.380826,-0.666163617,DOWN,FALSE,TRUE
Cdc7,1179.694292,-0.700232977,DOWN,FALSE,TRUE
Cdk5rap1,176.1233972,-0.539294896,DOWN,FALSE,TRUE
Cdk6,181.6824513,-1.500142052,DOWN,FALSE,TRUE
Cenpe,5907.376311,-0.655882678,DOWN,FALSE,TRUE
Cenps,176.850238,-0.90744028,DOWN,FALSE,TRUE
Cenpw,564.0539916,-0.844403827,DOWN,FALSE,TRUE
